formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.8283903,-1.5820985,1.0760319,-2.937413,1.2806323,True,-1.4703082
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2198544,0.017553568,0.019431539,-1.2579402,-1.1817685,True,0.90335447
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.4149722,-0.057961434,0.14914082,-0.7072882,-0.12265617,True,-0.3886356
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-1.3017071,0.5687627,0.42996916,-2.1444468,-0.45896757,True,1.3227988
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.141942,-0.31801796,0.15577689,-2.4472647,-1.8366194,False,-2.0414965
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-1.9072833,0.41607487,0.60504407,-3.0931697,-0.7213969,True,0.68767697
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-1.8440087,-0.2562871,0.76190406,-3.3373408,-0.35067666,True,-0.3363771
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046093,-0.34917176,0.04456246,0.11611198,-0.57675123,-0.12159227,True,0.38378865
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.2685277,-0.3533157,0.084788024,0.11805577,-0.584705,-0.1219264,True,0.7182031
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-0.8582249,0.55410194,1.5034865,-3.8050585,2.0886087,True,0.36854467
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.5501872,-2.1713002,0.62111294,0.17400588,-2.5123518,-1.8302486,False,3.569494
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,0.0014548302,-0.0014548302,0.0039690444,-0.006324497,0.009234157,True,-0.3665442
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.0831358,-1.9914553,-0.09168053,0.108845994,-2.2047935,-1.7781172,True,-0.8422958
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.64916146,-0.52490026,-0.1242612,0.16477872,-0.84786654,-0.20193395,True,-0.7541095
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.1033635,-1.9972099,-0.10615361,0.10921025,-2.211262,-1.7831578,True,-0.9720114
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7750492,-0.7616211,-0.013428092,0.17520061,-1.1050143,-0.4182279,True,-0.07664409
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-2.5933847,-2.0206804,-0.5727043,0.07251862,-2.162817,-1.878544,False,-7.8973417
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-1.1440732,-0.4152763,0.5291321,-2.1811724,-0.106974244,True,-0.7848253
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.1714629,-0.60444605,-0.56701684,0.19660193,-0.98978585,-0.21910626,False,-2.884086
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-0.8283903,-0.20910579,1.0760319,-2.937413,1.2806323,True,-0.19433047
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-1.8839922,0.74865115,0.78836143,-3.4291806,-0.33880377,True,0.94962937
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.6236455,0.5331831,0.16747038,-2.9518876,-2.2954035,False,3.1837456
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.338841,-1.9847211,0.6458801,0.38267395,-2.734762,-1.2346802,True,1.6878079
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6719637,-0.80854315,-1.8634205,0.995337,-2.7594037,1.1423175,True,-1.8721503
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24033412,-0.35679305,0.11645892,0.12452793,-0.6008678,-0.1127183,True,0.9352032
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-0.81639796,-1.9642904,1.015488,-2.8067546,1.1739585,True,-1.9343314
