Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.836689790244827,0.802707287443786,0.7966981808344523,0.9663597987533076,0.8935365497829304,0.9005528454413739,0.0001
2,0.8104219845253822,0.8315167907907182,0.8135672609011332,0.9247687047147527,0.9605307888878498,0.9567255266358089,0.0001
3,0.8100865906484047,0.857166017804827,0.8424655993779501,0.9167081671036773,0.9045003681332278,0.8906166023269032,0.0001
4,0.8439362097000683,0.8175806798854796,0.8060888608296712,1.050712290266187,0.8733525240345329,0.8725235974243569,0.0001
5,0.7919744234650293,0.8342667026680057,0.8098622560501099,0.8961970666655522,0.8948408953506556,0.8843681793728483,0.0001
6,0.7979158522048104,0.787516349503974,0.7562323292096456,0.8969435472702311,0.8996228629476162,0.8855667195911338,0.0001
7,0.7787983216344657,0.7690923394275313,0.7377917925516765,0.8763678078008036,0.8196541350828198,0.8035142663820892,0.0001
8,0.7457723371881386,0.7813146174454889,0.7409050226211548,0.912459415310728,0.800412080751534,0.7943498039756293,0.0001
9,0.7279003463850041,0.7463616262964842,0.6675248344739279,0.8165900481081335,0.8438258444419533,0.8319728234678986,0.0001
10,0.6977083607926429,0.718895779938257,0.637374214331309,0.8061959799146006,0.8392809530253577,0.8282653423622018,0.0001
11,0.6811236762271792,0.6865328600426682,0.6184511383374532,0.8080699629103721,0.7606324116752059,0.7504973746047086,0.0001
12,0.6239738197499807,0.6402009595342043,0.6057669480641683,0.7635843143601884,0.6527935937236308,0.6495781731204782,0.0001
13,0.6414988261142968,0.6023565540794565,0.5254898468653361,0.8168190532965798,0.7914078859166067,0.8049492524286488,0.0001
14,0.6313850393038806,0.6459406363863905,0.6132294416427613,0.7237006786615096,0.7212593153740716,0.7306190041928801,0.0001
15,0.6002048138808906,0.5553148413906578,0.5137491623560587,0.7464623016342643,0.693024030356709,0.6977273441166318,0.0001
16,0.5317691958421714,0.5083794754092433,0.4597065567970276,0.6470017900997064,0.668055389167482,0.6792088144675773,0.0001
17,0.5243073043291381,0.48955782722024355,0.4519507149855296,0.6491953615735122,0.6456069534749809,0.6600276778068609,0.0001
18,0.4733217606427955,0.5609566584354689,0.5192215442657471,0.6045133568898828,0.6093096871503452,0.6295390966800487,0.0001
19,0.4852401528884301,0.5003426195192737,0.45386154651641847,0.6194181084580789,0.5690097647915873,0.5776654513324128,0.0001
20,0.44344435158403855,0.44814462421321066,0.4170856992403666,0.5464229123242605,0.5750271264109965,0.594582709603362,0.0001
21,0.444326901996466,0.4657839446508584,0.4219609280427297,0.5567793925358278,0.6105963778635948,0.6310847732006702,0.0001
22,0.4333702432808437,0.45347887528042835,0.4131773471832275,0.5596543866933416,0.5677242039275356,0.5918979749412036,0.0001
23,0.42190431993092314,0.43724801360058185,0.3937619924545288,0.5341130951448734,0.49975580807545816,0.5262131729310714,0.0001
24,0.44511826920717096,0.5517714083695612,0.5066938738028208,0.549081709453426,0.5206690880712889,0.544371201103318,0.0001
25,0.4481085373660098,0.518170376785663,0.5076326449712117,0.554261693331569,0.6015112566191015,0.622612803662219,0.0001
26,0.44933816028656687,0.4626963519248642,0.40265026489893596,0.5766917683340979,0.5825529135702837,0.6016588130028537,0.0001
27,0.40244786534536126,0.44911426255682935,0.4026906748612722,0.5180841788523484,0.5097185781147766,0.5383867279593346,0.0001
28,0.42146573972569124,0.43902977574773194,0.41132771174112953,0.594568799584094,0.5232454228621034,0.5572685220596744,0.0001
29,0.4115420561276347,0.49978032031980885,0.46187415917714436,0.5200188028529515,0.526302815928644,0.5649986081794595,0.0001
30,0.39806135857842756,0.43933652829723197,0.3955333391825358,0.5198521725138829,0.4706129620822058,0.4978942565753478,7e-05
31,0.3788856824071488,0.4130991326660669,0.3792135834693909,0.49990878350803414,0.4707825624386958,0.5024409902257925,7e-05
32,0.38376058322310597,0.42213270443828166,0.38923749526341755,0.5104499690838225,0.5465426981163919,0.5851642783939426,7e-05
33,0.3807620166933999,0.4615666245212074,0.42428340911865237,0.4836547665399377,0.4471879812028303,0.4808213399443427,7e-05
34,0.3776469612061909,0.43354639886807994,0.38926105499267577,0.48155066580013206,0.47095590397952014,0.504183548685672,7e-05
35,0.3643123072341482,0.4714606569594696,0.4284911274909973,0.44825901355166353,0.4718146412508638,0.5086141307000877,7e-05
