formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.117063,0.32616544,0.39199612,-3.8853755,-2.3487506,True,0.83206296
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-1.8745687,1.4859726,0.19730745,-2.2612913,-1.4878461,False,7.5312543
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.99885666,0.26591223,0.8079315,-2.5824022,0.584689,True,0.32912722
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8751256,-2.7462716,-0.12885404,0.535862,-3.7965612,-1.695982,True,-0.24046122
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.4191054,-0.2226888,0.21244223,-0.8354922,-0.0027186275,True,-1.0482322
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7461878,-2.3064005,0.56021273,0.8148074,-3.903423,-0.709378,True,0.68754005
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2359695,-1.2567974,1.0208279,0.91672,-3.0535686,0.53997374,True,1.1135657
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-3.5242577,0.5181272,0.37803546,-4.2652073,-2.783308,True,1.3705783
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.0674099,-2.8967571,1.8293473,0.7315378,-4.330571,-1.462943,False,2.5006871
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-0.5592134,-0.42468405,-0.13452935,0.27936494,-0.9722394,0.12287128,True,-0.48155415
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394167,-0.44269526,-0.09672141,0.26261026,-0.95741135,0.07202083,True,-0.36830783
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.16172493,-1.4184026,1.2566776,0.95369196,-3.2876387,0.45083368,True,1.3176976
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.21411243,-1.5061487,1.2920363,0.42812645,-2.3452766,-0.66702086,False,3.0178847
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.18968032,-0.61331654,0.4236362,0.36513165,-1.3289746,0.10234153,True,1.1602286
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.0319412,-2.0621974,0.030256271,0.09786936,-2.2540214,-1.8703735,True,0.3091496
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.744181,-0.42195046,-0.32223052,0.19815552,-0.8103353,-0.03356564,True,-1.6261495
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-1.6158504,1.3504606,0.9460531,-3.4701147,0.23841369,True,1.4274682
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663084,-0.808464,0.63183314,0.4189193,-1.6295458,0.012617826,True,1.5082455
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.2417115,-1.6109407,0.3692292,0.47195518,-2.5359728,-0.6859085,True,0.7823395
