formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7908976,-3.0137048,0.22280717,0.27707604,-3.556774,-2.4706357,True,0.8041373
C3H9NO80Ru40,RuO2,110,amines,Propan-2-amine,-0.38859606,-1.9097595,1.5211635,0.13272633,-2.169903,-1.6496159,False,11.460902
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.87217647,0.13923204,0.56515133,-1.9798732,0.23552018,True,0.2463624
C3H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thione,-2.8751256,-2.9049695,0.029843807,0.44352448,-3.7742774,-2.0356615,True,0.06728785
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.6417942,-0.43350554,-0.20828867,0.23241922,-0.8890472,0.022036135,True,-0.8961766
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.7461878,-2.3831499,0.63696206,0.673879,-3.7039528,-1.0623469,True,0.9452172
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.2359695,-1.2181242,0.98215467,0.90617335,-2.994224,0.55797565,True,1.0838486
C2H6Ir40N2O80,IrO2,110,amidines,Acetimidamide,-3.0061305,-3.4237201,0.41758966,0.41729668,-4.2416215,-2.6058187,True,1.0007021
CH2Ir40O83,IrO2,110,carbonates_carboxylic-acids_esters,Carbonic-acid,-1.0674099,-2.8227868,1.7553769,0.7439381,-4.2809057,-1.3646681,False,2.3595738
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-0.5592134,-0.59902173,0.039808333,0.37389612,-1.3318582,0.13381469,True,0.10646897
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5394167,-0.5329823,-0.006434381,0.27882344,-1.0794762,0.013511658,True,-0.023076901
CH4Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methanol,-0.16172493,-1.2585061,1.0967811,0.9181057,-3.0579934,0.5409812,True,1.1946131
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-0.21411243,-1.615458,1.4013456,0.39863235,-2.3967774,-0.8341386,False,3.5153835
CH2O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-0.18968032,-0.63378865,0.4441083,0.38195956,-1.3824294,0.11485213,True,1.1627103
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-2.0319412,-2.0468514,0.014910221,0.102034874,-2.2468398,-1.846863,True,0.14612867
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.744181,-0.429883,-0.31429797,0.20396492,-0.8296542,-0.03011176,True,-1.5409414
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-0.26538977,-1.4889853,1.2235955,1.0867642,-3.619043,0.6410725,True,1.1259071
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-0.17663084,-0.62312144,0.4464906,0.45523694,-1.5153859,0.269143,True,0.9807872
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.2417115,-1.6276709,0.3859594,0.38800678,-2.388164,-0.8671776,True,0.9947233
C2H4S,None,None,thiols_thials_thioketones_thioethers,Ethanethial,0.0,0.020610929,-0.020610929,0.1164749,-0.20767987,0.24890172,True,-0.17695597
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-3.4684393,-2.2803888,-1.1880505,0.8022541,-3.8528068,-0.70797086,True,-1.4808906
C2H4O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-1.671883,-1.6152356,-0.05664742,0.4017772,-2.402719,-0.82775223,True,-0.14099212
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.52762645,-1.549411,1.0217845,0.5745916,-2.6756105,-0.42321157,True,1.7782797
