Epoch,Train_MAE_eV,Val_MAE_eV,Test_MAE_eV,Train_std_eV,Val_std_eV,Test_std_eV,Learning_Rate
1,0.8416975113335441,0.7913465336856679,0.8491420379051795,1.0083857049709781,0.9696380764034984,0.9692053846846935,0.001
2,0.7739001535655256,0.8204592048612416,0.79024842254117,0.9153072889176187,0.8147630592076862,0.8112561261994913,0.001
3,0.7583284812828445,0.7522023967188648,0.7372952770983052,0.8728058475049366,0.8065168973115582,0.8019184930565403,0.001
4,0.7209884000027946,0.7089674656207745,0.7210568851894803,0.8704885928653006,0.8658590441728637,0.8670924627767818,0.001
5,0.7229050295742396,0.6869581499670305,0.6490734153323703,0.8516964698760098,0.8197643483995657,0.8154652253301137,0.001
6,0.7013149296054142,0.6217715210384793,0.6649994320339627,0.8239603786087251,0.911162404803317,0.9175698720398039,0.001
7,0.6233438760399781,0.5580661684019953,0.5899528275188218,0.7781959587618544,0.7585885148464746,0.7653094425539042,0.001
8,0.5518590879530926,0.545507706128634,0.5839077081435766,0.6856989572703175,0.806173910224706,0.8151144945364867,0.001
9,0.5630859905315713,0.6166949292533418,0.6906857123741736,0.7190154931093151,0.755081365533621,0.7691801567367899,0.001
10,0.5654031104958069,0.5219513188060533,0.572522526113396,0.7784198883312526,0.7936840878336135,0.7921606520636472,0.001
11,0.5229496458855595,0.542946068649618,0.6302119605561607,0.6543696473498525,0.5861760906906351,0.5843939257084636,0.001
12,0.5445195613680085,0.5079941117865407,0.6048369407653809,0.679737032996077,0.775472825940892,0.7785662297629821,0.001
13,0.5133992788276625,0.5068002358461038,0.5444554100688707,0.6771928939967394,0.6385778553781593,0.6380298217752566,0.001
14,0.5508917118905523,0.4763324678453625,0.5753558415632981,0.699857888035368,0.6054016504481102,0.6156724074675849,0.001
15,0.5131395014820505,0.5605593043514806,0.5942110179835914,0.6364587873068323,0.7363132077271308,0.7368754391558096,0.001
16,0.5586985755055911,0.5994481062277769,0.6477929058237972,0.7327416332734311,0.7789721924061276,0.791432782767655,0.001
17,0.48351224716928887,0.5465862801951221,0.5688330821501904,0.6661908150469139,0.7406655870635537,0.7443691348262058,0.001
18,0.48766569214129757,0.4883510281896999,0.5322320074097723,0.6540158072625945,0.5773545233821026,0.580035998672561,0.001
19,0.4528772124571394,0.5874066780775021,0.6104227233136821,0.6395678206855334,0.6681836758734712,0.6708302478322227,0.001
20,0.4913961033116688,0.45471277705624574,0.554913194770487,0.632827542294685,0.5269124294596607,0.540826937333952,0.001
21,0.45553491397725293,0.46526740453182125,0.5751222219222631,0.6390472206934636,0.6442479853547443,0.6482829633553507,0.001
22,0.455760950371192,0.5621161134833963,0.6067789314139602,0.6180666933462291,0.8149418669386367,0.8202234025061327,0.001
23,0.5357779273859858,0.4503912110613961,0.5285652560046595,0.7173925688700166,0.5525687679156774,0.5568665581364242,0.001
24,0.4594209131743293,0.46171779306525856,0.5267865535540458,0.6339778930429186,0.5052809109254777,0.5023024740594104,0.001
25,0.4822211327311193,0.462082806815449,0.565511513979007,0.6450621087083747,0.666585423412191,0.6771217778317898,0.001
26,0.42780194075878775,0.43683049719557804,0.536176273965428,0.6032265519167317,0.5912181275600902,0.6016303787268992,0.001
27,0.43426718811967496,0.47730855045155585,0.5296482143239079,0.5800562461619608,0.5490526759502277,0.5609978432111791,0.001
28,0.43547487771363846,0.4483280701515002,0.5101704821627364,0.5763717847103672,0.6409570150376994,0.65536775669929,0.001
29,0.4518505945828854,0.8925707931192512,0.8063075807359483,0.5975202008667266,0.6070702863852269,0.612477876067528,0.001
30,0.7046870910777252,0.5912650039053371,0.608325153334528,0.8257165966454151,0.749440045277506,0.7509018362798399,0.001
