formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.9669564,-2.9991605,0.03220415,0.14737512,-3.2880158,-2.7103052,True,0.21851823
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-3.4020224,-3.1302977,-0.2717247,0.12590271,-3.377067,-2.8835282,False,-2.1582117
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.32321647,-0.2885071,-0.034709364,0.09076237,-0.46640134,-0.110612854,True,-0.3824202
CH3Ir40NO81,IrO2,110,amides,Formamide,-1.8881103,-1.9092252,0.021114945,0.3311131,-2.558207,-1.2602435,True,0.06376959
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-0.5272654,-2.8952348,2.3679695,0.10910305,-3.1090767,-2.681393,False,21.703972
C2H5Ir40NO80,IrO2,110,imines,N-methylmethanimine,-2.6867654,-2.2620525,-0.4247129,0.41714585,-3.0796585,-1.4444467,True,-1.0181401
C2H4O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-0.12246895,-0.67967594,0.557207,0.45629668,-1.5740175,0.21466559,True,1.2211506
CH2O82Ru40,RuO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-0.19747382,-0.5143264,0.31685257,0.31519613,-1.1321108,0.10345805,True,1.0052552
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-2.4104888,-0.7936685,-1.6168203,0.8999054,-2.5574832,0.97014606,True,-1.7966559
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.2023008,-1.2234561,0.021155357,0.021452256,-1.2655026,-1.1814097,True,0.98616004
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.47293362,-0.4001857,-0.072747916,0.09462698,-0.5856546,-0.21471682,True,-0.7687862
CH4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Methane,-0.7329444,-0.7695101,0.03656566,0.619307,-1.9833517,0.4443316,True,0.05904287
CH3NO82Ru40,RuO2,110,carbamate-esters,Carbamic-acid,-2.45996,-2.1064157,-0.35354424,0.065642886,-2.2350757,-1.9777557,False,-5.385873
CH3Ir40NO81,IrO2,110,oximes,Formaldoxime,-1.4912084,-2.3089547,0.8177463,0.5180277,-3.324289,-1.2936203,True,1.5785763
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-2.1002958,-1.6023004,-0.49799538,1.0312895,-3.623628,0.4190271,True,-0.48288614
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.3046093,-0.24088061,-0.06372869,0.06990719,-0.3778987,-0.103862524,True,-0.91161853
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-0.2685277,-0.3422197,0.073692024,0.12687324,-0.59089124,-0.09354815,True,0.5808319
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-0.9802064,0.67608345,1.6170228,-4.149571,2.1891584,True,0.41810384
C3H6Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propylene,-1.5501872,-1.8084242,0.258237,0.80479556,-3.3858237,-0.23102486,True,0.32087278
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.0019211769,0.0019211769,0.0046500606,-0.011035296,0.0071929423,True,0.41315094
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.0831358,-1.953031,-0.1301049,0.3427586,-2.6248379,-1.281224,True,-0.37958172
C2H5NO80Ru40,RuO2,110,imines,N-methylmethanimine,-0.64916146,-0.6670546,0.017893136,0.25349936,-1.1639134,-0.17019585,True,0.07058454
C2H7NO80Ru40,RuO2,110,amines,Ethanamine,-2.1033635,-1.9532044,-0.15015912,0.34319988,-2.6258762,-1.2805326,True,-0.43752673
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.7750492,-0.6323344,-0.1427148,0.096395455,-0.8212695,-0.4433993,True,-1.4805138
C3H4Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-2.5933847,-1.8623586,-0.7310262,0.12639363,-2.11009,-1.614627,False,-5.783726
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.5593495,-1.0667932,-0.49255633,0.7579582,-2.5523913,0.41880488,True,-0.6498463
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-1.1714629,-0.63709366,-0.53436923,0.20789456,-1.044567,-0.22962031,False,-2.5703857
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-1.0374961,-0.7936685,-0.24382758,0.8999054,-2.5574832,0.97014606,True,-0.27094802
CH2Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Formaldehyde,-1.135341,-2.1348941,0.9995531,0.48039892,-3.076476,-1.1933122,False,2.080673
CH4Ir40N2O80,IrO2,110,amidines,Formimidamide,-2.0904624,-2.553592,0.46312952,0.5243877,-3.5813918,-1.525792,True,0.88318145
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-1.338841,-1.9150176,0.57617664,0.39296186,-2.6852229,-1.1448123,True,1.4662406
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-2.6719637,-0.9040813,-1.7678823,1.1956041,-3.2474654,1.4393027,True,-1.478652
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.24033412,-0.4175763,0.17724219,0.124698296,-0.661985,-0.17316765,True,1.4213681
C3H7Ir40NO80,IrO2,110,imines,Propan-2-imine,-2.7806883,-0.7241562,-2.0565321,0.94798905,-2.5822148,1.1339023,False,-2.1693628
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.185714,-2.8459077,0.6601937,0.47309148,-3.7731671,-1.9186484,True,1.3954884
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.3939513,-0.979207,-0.41474432,0.51113176,-1.9810252,0.02261132,True,-0.8114235
C3H9Ir40NO80,IrO2,110,amines,Propan-2-amine,-2.8780565,-2.8224947,-0.05556178,0.11429234,-3.0465078,-2.5984817,True,-0.48613742
C2H4,None,None,alkanes_alkenes_alkynes,Ethene,0.0,-0.0019211769,0.0019211769,0.0046500606,-0.011035296,0.0071929423,True,0.41315094
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.1939761,-0.28814912,0.094173014,0.09097288,-0.46645597,-0.10984227,True,1.0351769
C2H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Ethene,-1.0898432,-1.2011554,0.11131227,0.21267502,-1.6179985,-0.78431237,True,0.52339137
CH4O,None,None,alcohols_aldehydes_ketones_ethers,Methanol,0.0,-0.0020772219,0.0020772219,0.0039046227,-0.009730283,0.005575839,True,0.5319904
C3H8Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-0.21161768,-2.3979614,2.1863437,2.2321048,-6.772887,1.9769642,True,0.9794987
C3H4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Prop-1-yne,-0.18160242,-0.33506787,0.15346545,0.15310507,-0.6351538,-0.034981936,True,1.0023538
CH4O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Methane,-0.46923956,-0.45172375,-0.017515808,0.109802894,-0.6669374,-0.23651008,True,-0.15952046
C2H6Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Dimethylsulfane,-0.30412295,-2.5504234,2.2463005,0.029274095,-2.6078007,-2.493046,False,76.73339
CH2Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Formic-acid,-1.5694237,-1.6087247,0.039301038,0.17864509,-1.9588691,-1.2585803,True,0.21999507
C2H5Ir40NO81,IrO2,110,amides,Acetamide,-0.42302877,-2.1741412,1.7511125,0.13471957,-2.4381914,-1.9100908,False,12.998204
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.337632,-2.3386788,0.001046896,0.20760174,-2.7455783,-1.9317794,True,0.005042809
C3H9Ir40NO80,IrO2,110,amines,Trimethylamine,-0.81660837,-1.8742805,1.057672,1.8507667,-5.5017834,1.7532222,True,0.5714778
C2H6,None,None,alkanes_alkenes_alkynes,Ethane,0.0,-0.0004889965,0.0004889965,0.0040186374,-0.008365526,0.007387533,True,0.12168217
C2H6Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Methoxymethane,-1.4508537,-1.1320913,-0.31876242,0.38329476,-1.883349,-0.38083357,True,-0.8316378
C2H4S,None,None,thiols_thials_thioketones_thioethers,Ethanethial,0.0,0.013798952,-0.013798952,0.004668143,0.0046493914,0.022948513,False,-2.9559832
