formula,material,surface,molecule_group,molecule,y_true,y_mean,error,y_std,y_min,y_max,in_interval,norm_res
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7831517,-1.5778294,-0.20532238,0.50296056,-2.563632,-0.59202665,True,-0.4082276
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.7089615,-1.4859061,-0.22305536,0.5956763,-2.6534317,-0.3183806,True,-0.37445733
C3H8O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Propane,-0.5396182,-0.3125857,-0.22703248,0.24035169,-0.7836751,0.15850362,True,-0.9445845
C3H8Ir40O80,IrO2,110,alkanes_alkenes_alkynes,Propane,-1.1133947,-0.9254921,-0.18790263,0.77653265,-2.4474962,0.5965119,True,-0.24197647
C3H8O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Propane-2-thiol,-1.6803143,-1.5383236,-0.14199066,0.5465589,-2.609579,-0.4670682,True,-0.2597902
C3H8O81Ru40,RuO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-0.92352736,-0.7675095,-0.15601784,0.3622351,-1.4774903,-0.057528734,True,-0.4307088
C2H2O80Ru40,RuO2,110,alkanes_alkenes_alkynes,Acetylene,-1.2053969,-1.1604545,-0.04494238,0.39762184,-1.9397933,-0.38111567,True,-0.113027945
C2H5NO81Ru40,RuO2,110,amides,Acetamide,-1.541222,-1.6592789,0.11805689,0.5143429,-2.6673908,-0.6511668,True,0.22952954
C2H4Ir40O82,IrO2,110,carbonates_carboxylic-acids_esters,Acetic-acid,-2.337632,-1.8321917,-0.50544024,1.0166967,-3.8249173,0.1605339,True,-0.49713966
CH2O80Ru40S,RuO2,110,thiols_thials_thioketones_thioethers,Methanethial,-1.7424982,-0.5732783,-1.1692199,0.4333861,-1.4227151,0.27615845,False,-2.6978712
C2H4Ir40O80S,IrO2,110,thiols_thials_thioketones_thioethers,Ethanethial,-2.5889723,-0.9717537,-1.6172186,0.88599473,-2.7083035,0.764796,True,-1.825314
C3H8Ir40O81,IrO2,110,alcohols_aldehydes_ketones_ethers,Propan-2-ol,-1.0918964,-1.3192462,0.22734976,1.0261831,-3.330565,0.69207275,True,0.22154891
C3H7NO80Ru40,RuO2,110,imines,Propan-2-imine,-1.9220315,-2.0259452,0.103913665,0.26439923,-2.5441678,-1.5077226,True,0.39301804
